# Pure Hydrogen Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
5750,8.5,0.899,15.143,-0.107,15.036,14.959
6000,8.5,0.9,14.95,-0.098,14.851,14.783
6250,8.5,0.9,14.77,-0.097,14.674,14.619
6500,8.5,0.9,14.604,-0.101,14.503,14.466
6750,8.5,0.901,14.448,-0.11,14.339,14.321
7000,8.5,0.901,14.302,-0.122,14.18,14.185
7500,8.5,0.901,14.037,-0.157,13.88,13.935
8000,8.5,0.902,13.801,-0.202,13.599,13.711
8500,8.5,0.902,13.603,-0.268,13.335,13.521
9000,8.5,0.903,13.411,-0.324,13.087,13.335
9500,8.5,0.903,13.239,-0.388,12.851,13.17
10000,8.5,0.903,13.087,-0.459,12.628,13.022
11000,8.5,0.904,12.825,-0.612,12.213,12.765
12000,8.5,0.905,12.606,-0.772,11.834,12.55
13000,8.5,0.906,12.415,-0.93,11.485,12.363
14000,8.5,0.907,12.244,-1.081,11.163,12.194
15000,8.5,0.908,12.084,-1.222,10.862,12.039
16000,8.5,0.908,11.934,-1.353,10.581,11.893
17000,8.5,0.909,11.791,-1.475,10.317,11.755
18000,8.5,0.91,11.661,-1.594,10.068,11.629
19000,8.5,0.911,11.547,-1.715,9.832,11.518
20000,8.5,0.912,11.449,-1.841,9.608,11.423
21000,8.5,0.912,11.367,-1.972,9.395,11.342
22000,8.5,0.913,11.299,-2.106,9.192,11.275
23000,8.5,0.914,11.246,-2.247,8.998,11.222
24000,8.5,0.915,11.21,-2.397,8.813,11.186
25000,8.5,0.916,11.186,-2.552,8.634,11.162
26000,8.5,0.916,11.161,-2.698,8.463,11.136
27000,8.5,0.917,11.13,-2.832,8.298,11.106
28000,8.5,0.918,11.094,-2.955,8.139,11.069
29000,8.5,0.919,11.053,-3.067,7.986,11.027
30000,8.5,0.92,11.009,-3.171,7.838,10.983
31000,8.5,0.923,10.961,-3.269,7.692,10.934
32000,8.5,0.924,10.914,-3.361,7.553,10.885
33000,8.5,0.925,10.867,-3.449,7.418,10.836
34000,8.5,0.926,10.82,-3.533,7.287,10.788
35000,8.5,0.926,10.774,-3.614,7.16,10.741
36000,8.5,0.927,10.728,-3.691,7.037,10.693
37000,8.5,0.928,10.683,-3.766,6.917,10.646
38000,8.5,0.929,10.637,-3.837,6.8,10.599
39000,8.5,0.93,10.592,-3.906,6.686,10.552
40000,8.5,0.931,10.546,-3.972,6.575,10.505
42500,8.5,0.934,10.425,-4.117,6.308,10.38
45000,8.5,0.936,10.306,-4.248,6.058,10.258
47500,8.5,0.937,10.149,-4.328,5.822,10.097
50000,8.5,0.939,9.955,-4.358,5.597,9.893
52500,8.5,0.94,9.877,-4.494,5.383,9.81
55000,8.5,0.942,9.836,-4.657,5.179,9.767
57500,8.5,0.944,9.805,-4.821,4.984,9.735
60000,8.5,0.945,9.778,-4.981,4.797,9.707
